mean,sd,burst_freq,mean_max_slope_jump,mean_max_slope_nojump,median_final_mut_jump,median_final_mut_nojump
120.0,40.0,0.611,0.029963926238893848,0.014570754161201795,9.384328358208956,6.004201680672269
120.0,20.0,0.542,0.027745760041099007,0.014719127613247621,8.997967741935483,6.18474358974359
150.0,40.0,0.761,0.031216563200420818,0.015587928695483838,10.156521739130435,6.392857142857143
150.0,20.0,0.762,0.030091601700876415,0.015337439358067003,10.021466177531504,6.445948717948719
120.0,100.0,0.615,0.03694596970517585,0.012796758536698165,9.96875,5.1125
120.0,140.0,0.59,0.03909382318355652,0.012248984731180194,10.156401770203269,5.0044487503954445
150.0,100.0,0.772,0.03853179992889814,0.014476261478185754,10.954266064904363,5.946062337872892
150.0,140.0,0.731,0.04079829854982206,0.013458408120015116,11.101449275362318,5.4896265560165975
120.0,120.0,0.621,0.039439729677412085,0.012868357622532836,10.254826254826256,5.022026431718062
150.0,120.0,0.764,0.03976214005738432,0.013870973480055462,10.92339174235726,5.466939443535188
120.0,80.0,0.632,0.035459861448843256,0.013463478027876818,10.01471593305123,5.4051768607221815
120.0,60.0,0.594,0.032647788240009114,0.014225540198406899,9.796415770609318,5.845815984563826
150.0,80.0,0.777,0.03552189188946789,0.01423244671669535,10.496503496503497,6.018315018315018
150.0,60.0,0.757,0.03322132216728793,0.014597940417840648,10.225165562913908,6.2122448979591836
