mean,sd,burst_freq,mean_max_slope_jump,mean_max_slope_nojump,median_final_mut_jump,median_final_mut_nojump
60.0,80.0,0.323,0.03819812042617349,0.010587623125637317,9.177358490566037,4.158273381294964
90.0,140.0,0.487,0.04006788953904783,0.011417533987686586,10.0,4.428571428571429
30.0,80.0,0.146,0.04325142417493798,0.009187429012075258,9.755625781815787,3.6977183899294452
60.0,60.0,0.29,0.03458644156548204,0.010739526241300628,9.032753393963358,4.238438276271736
30.0,60.0,0.127,0.03737227169617415,0.009129286475244485,8.936507936507937,3.5443548387096775
90.0,120.0,0.544,0.03886276603293265,0.011762547646849543,9.909479921000658,4.793602881052211
60.0,40.0,0.213,0.030509458029902802,0.01105588037076806,8.11654135338346,4.4951923076923075
60.0,20.0,0.098,0.025072507706922795,0.010876720892567485,7.791035296252609,4.312413141859388
30.0,40.0,0.1,0.0333401413145504,0.009211911296272834,8.295734981741807,3.58329444230262
30.0,20.0,0.028,0.024881540661708442,0.009177503849460087,7.16245271533545,3.5628093158660845
60.0,100.0,0.33,0.039099715207994615,0.010506823526890278,9.22924600152323,4.083343996197927
30.0,100.0,0.166,0.038490064508927384,0.009244709080895792,8.533606041535556,3.812547892720307
60.0,140.0,0.339,0.040914948821409426,0.009838896403935307,9.33920704845815,3.9080459770114944
90.0,80.0,0.452,0.03564462413606303,0.012344216156892391,9.53372478169226,5.010171526586621
30.0,140.0,0.156,0.042710942054494085,0.009106859349101114,9.227055883689232,3.3899957980250717
90.0,60.0,0.448,0.031231329834661866,0.01243162923699168,9.005459111256688,5.045099316183654
60.0,120.0,0.31,0.04213251149593193,0.010191607947534341,9.64155260469867,4.0
30.0,120.0,0.156,0.04350788032745256,0.009106207093945797,9.491128513600424,3.5966000275115775
90.0,40.0,0.387,0.02800120493913305,0.01272366122432829,8.268292682926829,5.182572614107884
90.0,20.0,0.262,0.025688081309267096,0.013364214715095251,8.054203254132231,5.575540131000098
90.0,100.0,0.502,0.038693452373095114,0.01163460222497505,9.545574197665452,4.638675835316935
