mean,sd,burst_freq,mean_max_slope_jump,mean_max_slope_nojump,median_final_mut_jump,median_final_mut_nojump
180.0,20.0,0.891,0.03311718424311272,0.015533124170912545,10.89516129032258,6.7364016736401675
180.0,100.0,0.858,0.037558036417606716,0.014375037584815372,11.28288888888889,6.080384150030248
180.0,80.0,0.859,0.03709450285532965,0.014874873627305572,11.054054054054054,6.449056603773585
180.0,140.0,0.813,0.04163579862274237,0.014010855163721818,11.426470588235293,5.919678714859438
180.0,60.0,0.881,0.035242492752375315,0.015160972999748936,10.968051118210862,7.063432835820896
180.0,120.0,0.822,0.039911548706041855,0.01386756108146534,11.596817097780225,5.884534706331045
180.0,40.0,0.882,0.03373475275459119,0.015498710561612056,11.037773413183935,6.9630472046413505
